conc,R0,R2,R3,note
15.5,,,0.958724126,raw
15.5,,,0.683327949,raw
15.5,,,0.606746881,raw
15.5,,,0.788834299,raw
15.5,,,0.830319811,raw
15.5,,,0.847346209,raw
15.5,,,0.882800215,raw
15.5,,,0.800467537,raw
15.5,,,0.923562341,raw
15.5,,,0.810127781,raw
15.5,,,0.872370897,raw
15.5,,,0.81613544,raw
15.5,,,0.832414931,raw
15.5,,,0.793477006,raw
15.75,,,0.787515678,raw
15.75,,,0.800667122,raw
15.75,,,0.658351385,raw
15.75,,,0.890379038,raw
15.75,,,0.85526174,raw
15.75,,,0.830444022,raw
15.75,,,0.939667857,raw
15.75,,,0.91084052,raw
15.75,,,0.833909288,raw
15.75,,,0.774549524,raw
15.75,,,0.713950563,raw
15.75,,,0.718952996,raw
15.75,,,0.751387478,raw
15.75,,,0.772608763,raw
15.75,,,0.805029556,raw
16,,,0.973966736,raw
16,,,0.968256375,raw
16,,,0.967688241,raw
16,,,0.974289879,raw
16,,,0.969043478,raw
17,,,0.983797255,raw
17,,,0.984366851,raw
17,,,0.985222191,raw
17,,,0.990888643,raw
17,,,0.989469703,raw
