Slice,Mean
730,159.1374
731,160.0192
732,156.5457
733,156.9187
734,153.3413
735,143.1162
736,151.0388
737,157.4163
738,156.9931
739,157.7579
740,157.1245
741,159.2934
742,159.4374
743,158.7452
744,153.1934
745,156.0814
746,157.4749
747,156.3423
748,155.0025
749,151.1413
750,154.0622
751,157.5732
752,156.9504
753,154.5083
754,153.2233
755,151.9841
756,139.9292
757,137.0252
758,156.4305
759,159.5554
760,162.5502
761,164.7078
762,167.6585
763,167.1306
764,166.8759
765,169.4943
766,174.2661
767,176.5818
768,176.9109
769,170.9609
770,171.5564
771,174.0012
772,176.1625
773,179.7768
774,178.9749
775,177.5732
776,175.0624
777,176.4894
778,175.8091
779,177.4864
780,169.1418
781,172.0714
782,174.2522
783,169.7249
784,170.4301
785,175.9068
786,175.7193
787,173.6349
788,173.1188
789,173.2864
790,170.0966
791,174.6020
792,174.6575
793,174.1840
794,174.8317
795,174.6157
796,175.0355
797,173.5999
798,172.6011
799,171.2753
800,169.2980
801,169.8490
802,169.8910
803,171.8302
804,171.7024
805,172.3390
806,171.1578
807,170.1057
808,172.4731
809,171.5789
810,171.4429
811,171.4816
812,171.1926
813,170.5798
814,170.3318
815,171.8405
816,171.4624
817,170.7136
818,169.9179
819,169.7087
820,172.0566
821,171.2051
822,170.9836
823,172.0166
824,171.7800
825,170.4412
826,170.3649
827,170.5729
828,169.6434
829,169.9393
830,170.1891
831,170.1676
832,171.2236
833,171.6008
834,171.5443
835,171.1393
836,170.6611
837,170.4194
838,170.7020
839,169.7952
840,169.7572
841,170.6024
842,169.9474
843,168.7858
844,171.4460
845,172.7157
846,168.6688
847,170.5910
848,170.3184
849,169.2097
850,169.3905
851,170.9152
852,169.5925
