Slice,Mean
823,133.585
824,131.974
825,132.405
826,132.428
827,133.507
828,130.429
829,130.308
830,131.881
831,132.526
832,132.317
833,130.390
834,130.431
835,132.831
836,131.828
837,128.553
838,129.308
839,129.241
840,129.362
841,133.570
842,131.462
843,129.901
844,132.667
845,132.405
846,129.998
847,129.692
848,128.789
849,129.541
850,129.916
851,130.942
852,128.060
